Name,Number_of_Employees,Wilaya,City
El-Djenina Palace Kitchen,89,19,5069
El-Rahma Grill House,86,18,2070
Lalla Grill House,29,4,5370
El-Mesk Flavors Shack,30,11,5154
El-baraka Palace Kitchen,86,24,2837
El-Boustane Grill House,55,33,1697
El-Rahma Cuisine Haven,75,24,1473
El-Magharibi Grill House,29,20,4475
El-Mesk Palace Kitchen,98,47,3509
El-Djenina Taste Oasis,82,7,1953
Lalla Cuisine Haven,82,42,5255
Lalla Taste Oasis,87,10,3479
El-Mesk Grill House,78,29,68
El-baraka Cuisine Haven,44,39,2528
Lalla Grill House,32,15,4558
El-Mesk Grill House,68,56,5673
El-Rahma Grill House,56,46,1957
El-Magharibi Flavors Shack,61,55,4669
El-Djenina Cuisine Haven,98,9,4918
El-Magharibi Flavors Shack,60,24,1101
El-Magharibi Cuisine Haven,89,26,1885
El-Boustane Grill House,49,23,5679
El-Djenina Taste Oasis,63,20,2396
El-Magharibi Grill House,83,23,2150
El-Rahma Cuisine Haven,71,12,3722
El-Boustane Palace Kitchen,34,42,2477
Lalla Cuisine Haven,31,2,1111
El-Rahma Palace Kitchen,89,23,4908
El-Boustane Cuisine Haven,45,47,955
Lalla Taste Oasis,60,40,772
Lalla Grill House,30,51,4425
El-Magharibi Grill House,61,38,1325
El-Magharibi Palace Kitchen,68,25,3198
El-baraka Palace Kitchen,90,19,5026
El-Rahma Grill House,49,22,4541
El-Djenina Cuisine Haven,25,2,4454
El-baraka Cuisine Haven,50,41,3554
El-baraka Taste Oasis,83,22,4089
El-Rahma Taste Oasis,37,16,3537
El-Boustane Cuisine Haven,65,16,2462
El-Djenina Palace Kitchen,42,7,3197
El-Djenina Palace Kitchen,48,12,72
El-Magharibi Taste Oasis,69,57,2838
El-Magharibi Grill House,43,1,2699
Lalla Flavors Shack,37,11,3215
El-Mesk Taste Oasis,97,16,2032
Lalla Cuisine Haven,87,28,798
El-Mesk Cuisine Haven,63,31,3952
Lalla Cuisine Haven,30,3,1377
El-Mesk Grill House,32,5,4641
El-Boustane Grill House,64,50,1872
El-Djenina Cuisine Haven,79,48,3362
El-Rahma Grill House,100,40,2723
El-Boustane Grill House,30,48,3180
El-Rahma Cuisine Haven,51,39,583
El-Boustane Flavors Shack,44,13,4245
El-Magharibi Taste Oasis,73,2,2991
El-Djenina Taste Oasis,81,48,2091
El-Magharibi Taste Oasis,57,52,3575
El-baraka Cuisine Haven,70,14,3940
El-Rahma Palace Kitchen,48,30,4281
El-Rahma Grill House,37,35,5491
El-baraka Taste Oasis,37,55,4244
El-Boustane Palace Kitchen,67,56,5103
El-Rahma Taste Oasis,31,16,1443
Lalla Flavors Shack,62,3,3881
El-Rahma Taste Oasis,57,48,1392
El-Mesk Grill House,67,40,3472
El-Djenina Palace Kitchen,60,31,5260
El-baraka Palace Kitchen,61,10,91
El-Djenina Flavors Shack,95,11,3621
El-Djenina Taste Oasis,52,12,1835
El-Djenina Taste Oasis,60,19,2374
El-Boustane Palace Kitchen,96,33,2965
El-Rahma Cuisine Haven,32,49,2954
Lalla Flavors Shack,81,52,5601
El-Djenina Grill House,25,11,2303
El-Djenina Palace Kitchen,87,44,723
El-Mesk Flavors Shack,94,57,4935
El-Rahma Grill House,95,1,2897
El-Magharibi Grill House,52,43,2781
El-Boustane Grill House,69,15,1174
El-Djenina Flavors Shack,26,55,3720
El-Mesk Grill House,35,25,3242
El-Magharibi Taste Oasis,93,9,1005
El-Magharibi Palace Kitchen,24,29,3335
El-baraka Grill House,20,46,2724
El-Boustane Flavors Shack,100,16,2210
El-Rahma Palace Kitchen,99,24,2745
El-Djenina Cuisine Haven,67,41,4496
Lalla Grill House,89,46,2861
El-Magharibi Grill House,29,49,3720
Lalla Taste Oasis,72,37,3583
El-Mesk Palace Kitchen,54,15,5578
El-Djenina Palace Kitchen,55,6,445
El-Rahma Flavors Shack,67,28,3622
El-Djenina Flavors Shack,93,16,894
El-Mesk Grill House,23,10,3670
El-Rahma Taste Oasis,39,14,1561
El-Mesk Palace Kitchen,59,12,2936
El-baraka Palace Kitchen,21,22,645
El-Djenina Palace Kitchen,83,10,880
El-baraka Palace Kitchen,39,55,749
El-Mesk Cuisine Haven,96,24,5489
El-Magharibi Flavors Shack,87,54,431
El-baraka Palace Kitchen,52,35,1350
El-Boustane Grill House,98,40,5059
El-Mesk Flavors Shack,87,38,5550
El-baraka Flavors Shack,21,9,1305
El-Magharibi Palace Kitchen,21,42,2056
El-Boustane Palace Kitchen,74,5,3175
El-Boustane Taste Oasis,71,8,561
Lalla Palace Kitchen,64,48,3722
El-Magharibi Palace Kitchen,94,53,1816
El-Boustane Flavors Shack,56,26,2681
El-Djenina Flavors Shack,59,11,674
El-Boustane Cuisine Haven,57,3,2962
El-Boustane Palace Kitchen,76,29,2663
El-baraka Grill House,26,48,208
El-Magharibi Flavors Shack,61,54,1525
El-Mesk Grill House,52,51,2078
El-Rahma Grill House,91,4,5422
Lalla Cuisine Haven,81,37,2133
El-baraka Taste Oasis,65,20,5056
Lalla Taste Oasis,76,10,918
El-Rahma Flavors Shack,66,34,4549
El-baraka Palace Kitchen,65,39,1868
El-Boustane Flavors Shack,66,32,4094
El-Djenina Cuisine Haven,97,51,4635
Lalla Grill House,22,53,569
Lalla Grill House,80,49,1986
El-Magharibi Taste Oasis,73,15,1242
Lalla Flavors Shack,41,13,596
El-baraka Taste Oasis,49,25,3867
El-Mesk Cuisine Haven,62,11,4040
Lalla Grill House,38,18,1863
El-Djenina Palace Kitchen,74,34,235
El-Magharibi Flavors Shack,43,13,3374
El-baraka Flavors Shack,51,3,2139
El-baraka Taste Oasis,38,45,985
El-baraka Taste Oasis,48,19,2023
El-Mesk Taste Oasis,63,33,3126
El-Mesk Cuisine Haven,54,58,1628
El-Magharibi Palace Kitchen,92,42,4238
El-Djenina Cuisine Haven,46,16,4487
El-Djenina Cuisine Haven,83,46,445
El-Magharibi Grill House,98,38,5231
El-baraka Taste Oasis,35,34,3995
El-Boustane Taste Oasis,96,8,435
El-Djenina Cuisine Haven,67,54,4470
Lalla Palace Kitchen,80,45,1000
El-Rahma Palace Kitchen,75,41,5427
El-Mesk Grill House,90,2,3557
El-Boustane Palace Kitchen,73,55,4884
El-Mesk Grill House,96,40,2339
El-Boustane Palace Kitchen,97,30,1610
El-Mesk Cuisine Haven,53,39,2648
El-baraka Palace Kitchen,88,29,4559
El-Djenina Flavors Shack,44,37,1161
El-Djenina Cuisine Haven,39,32,2417
El-Boustane Flavors Shack,49,34,2753
El-Mesk Grill House,51,44,4113
El-Mesk Palace Kitchen,94,2,541
El-Djenina Cuisine Haven,45,12,3526
Lalla Palace Kitchen,56,33,4014
El-Mesk Palace Kitchen,73,54,1034
El-baraka Grill House,53,15,681
El-Magharibi Palace Kitchen,54,30,851
Lalla Cuisine Haven,21,49,2390
El-Rahma Taste Oasis,24,40,4255
El-Rahma Palace Kitchen,20,50,5513
El-Rahma Palace Kitchen,52,22,413
El-baraka Flavors Shack,72,33,1499
El-Mesk Flavors Shack,69,40,410
El-Mesk Grill House,49,38,4099
Lalla Grill House,98,43,3431
El-baraka Cuisine Haven,81,3,5510
Lalla Flavors Shack,80,14,1704
El-Mesk Grill House,65,10,1563
El-Rahma Flavors Shack,39,46,2922
El-Rahma Flavors Shack,53,42,130
El-Magharibi Grill House,48,42,4036
El-Rahma Flavors Shack,87,25,2611
El-Mesk Cuisine Haven,72,13,5105
El-Magharibi Grill House,59,29,4157
El-Rahma Flavors Shack,42,49,708
El-Djenina Palace Kitchen,48,28,1286
El-Djenina Grill House,53,53,1189
El-Rahma Palace Kitchen,26,7,2234
El-Rahma Palace Kitchen,59,47,3810
El-Rahma Cuisine Haven,23,48,1064
El-Magharibi Taste Oasis,63,6,1321
El-Rahma Taste Oasis,95,52,288
El-Mesk Flavors Shack,48,36,5169
El-baraka Flavors Shack,86,31,2692
El-Rahma Grill House,39,4,1298
Lalla Flavors Shack,70,30,1709
El-Magharibi Grill House,25,36,1700
Lalla Cuisine Haven,78,20,173
Lalla Flavors Shack,21,46,296
El-Djenina Grill House,21,24,2833
El-baraka Flavors Shack,54,37,3499
El-baraka Cuisine Haven,84,15,2067
El-Magharibi Palace Kitchen,95,15,3536
El-Boustane Palace Kitchen,49,6,1086
El-Boustane Cuisine Haven,62,17,1245
Lalla Taste Oasis,94,44,1531
Lalla Flavors Shack,92,26,3362
El-Mesk Grill House,99,13,2555
El-Djenina Flavors Shack,42,48,5637
Lalla Taste Oasis,20,49,2607
El-Rahma Grill House,69,38,5386
El-Magharibi Palace Kitchen,20,34,3249
El-Rahma Grill House,38,40,3429
El-Djenina Palace Kitchen,22,21,5242
El-Mesk Palace Kitchen,67,20,3392
El-baraka Flavors Shack,52,58,5256
El-Rahma Cuisine Haven,91,35,3151
El-Magharibi Taste Oasis,45,46,5302
El-baraka Taste Oasis,49,36,5196
El-baraka Cuisine Haven,95,8,4847
El-Boustane Flavors Shack,42,11,1555
El-Rahma Grill House,61,54,4419
El-Mesk Grill House,28,55,374
El-Magharibi Grill House,36,23,5018
El-Boustane Grill House,100,54,555
El-Rahma Grill House,52,19,3547
El-Djenina Cuisine Haven,24,29,3364
El-Rahma Palace Kitchen,43,34,3612
Lalla Palace Kitchen,65,15,3085
El-Boustane Flavors Shack,28,21,1563
El-Djenina Grill House,66,57,2284
El-Mesk Taste Oasis,53,54,5790
El-Rahma Palace Kitchen,20,12,4156
El-Magharibi Grill House,42,41,1834
El-Boustane Grill House,84,54,1241
Lalla Flavors Shack,93,49,4780
El-Boustane Cuisine Haven,100,32,869
El-Mesk Cuisine Haven,44,51,2184
El-Boustane Taste Oasis,91,3,2940
El-Boustane Cuisine Haven,79,53,3008
El-Djenina Grill House,27,40,1765
El-Magharibi Flavors Shack,44,45,2270
El-Mesk Taste Oasis,37,39,2365
El-Rahma Grill House,25,7,2162
El-Djenina Cuisine Haven,99,37,5762
El-Mesk Flavors Shack,32,48,4379
El-Rahma Flavors Shack,23,5,885
Lalla Palace Kitchen,63,11,2637
El-Djenina Palace Kitchen,64,30,1392
El-Boustane Grill House,88,42,2765
El-Boustane Flavors Shack,46,25,2149
El-Magharibi Flavors Shack,100,50,5160
El-Magharibi Grill House,69,16,2164
El-baraka Taste Oasis,68,20,4539
El-Djenina Grill House,82,53,1902
El-Rahma Taste Oasis,32,37,242
El-Mesk Flavors Shack,35,22,2855
El-Djenina Grill House,43,41,3216
El-Magharibi Grill House,90,50,3235
El-Magharibi Palace Kitchen,82,57,5080
El-baraka Taste Oasis,81,34,5126
El-baraka Cuisine Haven,96,2,849
El-Magharibi Flavors Shack,95,11,181
El-baraka Cuisine Haven,78,9,4340
El-Boustane Taste Oasis,80,48,420
El-Magharibi Cuisine Haven,99,52,5229
El-Boustane Cuisine Haven,94,25,4299
El-Magharibi Flavors Shack,24,5,1262
El-Magharibi Cuisine Haven,65,32,1307
Lalla Taste Oasis,51,15,2379
El-Mesk Cuisine Haven,52,5,4577
El-baraka Flavors Shack,92,6,5515
El-Rahma Grill House,40,13,2780
El-Boustane Flavors Shack,84,27,2054
El-Magharibi Cuisine Haven,50,57,3792
El-baraka Palace Kitchen,93,11,952
El-baraka Taste Oasis,100,13,386
El-Rahma Flavors Shack,50,1,606
Lalla Palace Kitchen,33,30,5750
El-Djenina Taste Oasis,47,47,1298
El-Rahma Palace Kitchen,21,15,2045
El-Djenina Grill House,73,38,383
El-baraka Cuisine Haven,76,44,3784
El-Djenina Palace Kitchen,81,48,3823
El-Djenina Palace Kitchen,89,35,1984
El-baraka Grill House,72,11,3904
El-Magharibi Taste Oasis,23,8,994
El-Magharibi Flavors Shack,63,15,693
Lalla Grill House,35,9,245
El-Boustane Grill House,47,15,1260
El-Djenina Flavors Shack,42,3,2831
El-Boustane Taste Oasis,92,16,5779
El-Mesk Palace Kitchen,43,14,5473
Lalla Grill House,90,50,4865
El-baraka Palace Kitchen,69,36,3072
Lalla Taste Oasis,99,47,3183
El-Mesk Taste Oasis,89,23,2251
El-Magharibi Palace Kitchen,99,50,3043
El-baraka Palace Kitchen,75,32,5601
El-Boustane Cuisine Haven,20,48,1483
El-Rahma Grill House,33,15,3966
El-Djenina Taste Oasis,23,1,2613
El-Mesk Taste Oasis,28,11,3444
El-baraka Taste Oasis,25,57,3126
El-Djenina Cuisine Haven,33,18,2703
El-Boustane Grill House,61,30,1987
El-Rahma Palace Kitchen,54,25,239
El-Mesk Cuisine Haven,84,12,2275
El-Djenina Grill House,33,57,3062
Lalla Palace Kitchen,69,44,2933
El-Boustane Taste Oasis,86,57,2627
El-Mesk Flavors Shack,62,36,5642
El-Boustane Taste Oasis,60,53,2865
El-Mesk Grill House,56,11,5799
El-Boustane Flavors Shack,83,43,622
El-Djenina Taste Oasis,27,19,2463
Lalla Palace Kitchen,73,33,76
El-baraka Grill House,56,25,1949
El-Boustane Cuisine Haven,35,44,1978
El-Mesk Taste Oasis,76,53,5693
El-Rahma Flavors Shack,29,47,3331
El-Djenina Flavors Shack,50,46,3169
El-Djenina Taste Oasis,49,44,5071
El-Boustane Palace Kitchen,39,41,616
El-Boustane Taste Oasis,92,42,2821
Lalla Grill House,52,9,1846
El-Boustane Grill House,89,38,4658
El-Magharibi Palace Kitchen,46,39,686
El-baraka Cuisine Haven,54,12,2604
El-Magharibi Flavors Shack,43,53,5142
El-Djenina Cuisine Haven,55,43,5702
El-Mesk Cuisine Haven,80,26,1078
El-baraka Grill House,89,28,3893
El-baraka Flavors Shack,25,54,3662
El-Rahma Palace Kitchen,43,7,5620
El-baraka Palace Kitchen,50,42,1441
El-Boustane Taste Oasis,59,12,4842
El-Rahma Grill House,39,56,1544
Lalla Flavors Shack,69,25,1235
El-Mesk Taste Oasis,77,8,2359
Lalla Grill House,31,25,5236
El-Boustane Flavors Shack,23,45,2514
Lalla Palace Kitchen,67,54,1686
El-Djenina Palace Kitchen,82,26,2261
El-Rahma Flavors Shack,100,1,1078
El-Magharibi Grill House,93,16,4816
El-baraka Grill House,95,5,2327
El-Djenina Palace Kitchen,75,57,536
Lalla Cuisine Haven,64,29,619
El-baraka Cuisine Haven,96,53,1536
Lalla Flavors Shack,73,9,1203
El-Mesk Cuisine Haven,37,15,829
El-Boustane Grill House,78,19,4789
El-Mesk Flavors Shack,78,25,3149
El-Boustane Taste Oasis,23,15,2400
El-Rahma Palace Kitchen,48,54,1209
El-Boustane Flavors Shack,55,27,5062
El-Mesk Grill House,27,56,4745
El-Djenina Palace Kitchen,27,49,3809
Lalla Cuisine Haven,36,31,1099
El-Mesk Palace Kitchen,49,1,3720
El-Rahma Cuisine Haven,24,32,2700
El-baraka Cuisine Haven,55,3,4492
El-Mesk Cuisine Haven,82,52,2401
El-Djenina Flavors Shack,87,6,5329
El-Rahma Palace Kitchen,53,42,5664
El-baraka Palace Kitchen,24,49,5132
El-Boustane Palace Kitchen,34,30,3796
El-baraka Cuisine Haven,46,38,3646
El-Magharibi Cuisine Haven,28,4,4467
El-Djenina Cuisine Haven,33,7,2687
El-Djenina Palace Kitchen,77,24,2666
El-Rahma Taste Oasis,53,57,140
El-baraka Cuisine Haven,68,30,4671
Lalla Cuisine Haven,45,53,2712
El-Djenina Taste Oasis,26,2,2510
El-Rahma Cuisine Haven,43,27,3015
El-Mesk Taste Oasis,36,7,4715
Lalla Flavors Shack,54,14,681
El-Boustane Grill House,83,4,884
El-Boustane Taste Oasis,37,39,1436
El-Mesk Flavors Shack,57,2,75
El-Magharibi Palace Kitchen,70,53,2593
El-Magharibi Taste Oasis,71,57,5524
Lalla Flavors Shack,86,7,3250
Lalla Taste Oasis,74,34,4665
El-baraka Flavors Shack,86,30,3070
El-Boustane Grill House,37,14,3680
Lalla Grill House,78,47,2249
El-baraka Palace Kitchen,63,6,3845
El-Mesk Grill House,98,47,5298
El-Mesk Taste Oasis,66,17,3261
El-Boustane Taste Oasis,94,52,3057
El-Magharibi Grill House,45,40,1892
El-Boustane Palace Kitchen,92,12,4528
Lalla Flavors Shack,52,43,5635
El-Rahma Grill House,42,46,3751
El-Magharibi Grill House,58,44,4039
El-Rahma Taste Oasis,31,25,2654
Lalla Grill House,55,33,2196
El-baraka Grill House,60,39,1925
El-Djenina Flavors Shack,58,22,3211
El-Mesk Flavors Shack,75,15,3906
El-Magharibi Taste Oasis,34,6,2305
El-Boustane Cuisine Haven,37,50,5010
El-Djenina Cuisine Haven,65,11,2603
El-Djenina Cuisine Haven,53,44,3251
El-Mesk Palace Kitchen,21,19,5672
El-Boustane Taste Oasis,65,32,4665
El-Djenina Taste Oasis,75,15,1494
El-Magharibi Grill House,53,13,3276
El-Djenina Taste Oasis,91,22,2515
El-baraka Flavors Shack,98,10,2135
El-Magharibi Palace Kitchen,98,10,2477
El-Rahma Flavors Shack,51,36,427
El-Djenina Palace Kitchen,86,48,2504
Lalla Taste Oasis,95,54,2555
El-Djenina Taste Oasis,35,53,3969
El-Rahma Flavors Shack,22,7,2453
Lalla Cuisine Haven,65,20,1979
El-Djenina Flavors Shack,42,57,294
Lalla Grill House,89,15,2672
El-Rahma Palace Kitchen,45,24,1850
El-Djenina Flavors Shack,24,45,1160
Lalla Palace Kitchen,68,17,2357
El-Mesk Cuisine Haven,38,24,1679
El-Mesk Palace Kitchen,23,37,5294
El-Djenina Flavors Shack,49,56,1203
El-Mesk Cuisine Haven,99,5,3826
El-Djenina Palace Kitchen,28,13,5043
El-Rahma Grill House,58,11,3288
El-Magharibi Cuisine Haven,37,7,452
El-Mesk Cuisine Haven,84,45,3628
Lalla Taste Oasis,96,41,1157
El-Djenina Flavors Shack,92,17,2800
Lalla Grill House,87,42,2289
Lalla Grill House,80,21,2030
El-Boustane Flavors Shack,83,48,5347
El-Mesk Flavors Shack,27,19,1016
Lalla Flavors Shack,77,9,3030
El-Boustane Flavors Shack,79,1,2974
El-Rahma Taste Oasis,97,23,409
El-Magharibi Taste Oasis,30,45,3157
El-Rahma Palace Kitchen,47,7,4670
Lalla Taste Oasis,27,6,5041
El-Mesk Flavors Shack,46,25,4125
Lalla Taste Oasis,63,10,2296
El-baraka Cuisine Haven,69,35,930
El-Magharibi Grill House,89,57,96
El-Mesk Palace Kitchen,60,25,4910
El-Djenina Flavors Shack,23,18,991
El-Rahma Cuisine Haven,30,36,2514
El-Boustane Grill House,72,11,3563
El-baraka Flavors Shack,66,46,959
El-Boustane Cuisine Haven,75,40,1907
El-Djenina Palace Kitchen,56,50,2996
El-baraka Palace Kitchen,84,15,2840
El-baraka Flavors Shack,51,10,4545
El-Magharibi Cuisine Haven,25,23,3204
El-Boustane Palace Kitchen,41,9,315
Lalla Flavors Shack,51,33,5534
Lalla Grill House,82,7,2074
El-Djenina Flavors Shack,76,26,4895
El-Magharibi Cuisine Haven,84,27,3260
El-Magharibi Flavors Shack,34,51,516
El-Magharibi Palace Kitchen,90,10,4284
El-Mesk Palace Kitchen,40,19,4016
El-Djenina Flavors Shack,89,17,535
El-Magharibi Flavors Shack,96,27,1458
El-Mesk Taste Oasis,35,15,2411
El-Boustane Cuisine Haven,42,45,5368
El-Rahma Grill House,27,26,820
El-Mesk Cuisine Haven,73,55,2505
El-Boustane Palace Kitchen,90,35,3579
El-Rahma Cuisine Haven,74,16,105
Lalla Cuisine Haven,24,12,4238
El-Magharibi Cuisine Haven,24,23,3712
El-Rahma Taste Oasis,61,36,4573
El-Mesk Flavors Shack,42,29,5406
El-Magharibi Grill House,74,4,3626
El-Djenina Cuisine Haven,93,51,884
El-Djenina Taste Oasis,73,23,1713
El-Rahma Grill House,33,1,1795
El-baraka Flavors Shack,26,50,451
Lalla Palace Kitchen,97,26,5251
El-baraka Taste Oasis,93,52,4281
El-Rahma Taste Oasis,82,44,5195
El-Magharibi Grill House,29,32,824
El-Boustane Taste Oasis,83,2,936
Lalla Cuisine Haven,61,36,5760
El-Rahma Cuisine Haven,99,6,4743
Lalla Taste Oasis,34,22,1275
El-Magharibi Palace Kitchen,91,33,825
El-Djenina Flavors Shack,94,12,5102
El-baraka Grill House,77,50,3100
El-Rahma Cuisine Haven,25,55,837
El-Boustane Taste Oasis,66,13,1779
El-Magharibi Palace Kitchen,53,9,3214
El-Rahma Cuisine Haven,50,4,5056
El-Mesk Palace Kitchen,41,29,5008
El-Magharibi Cuisine Haven,31,17,1456
El-Boustane Taste Oasis,66,58,1548
Lalla Flavors Shack,60,14,5470
El-Rahma Taste Oasis,66,11,4684
El-Mesk Grill House,55,53,4704
El-Mesk Taste Oasis,30,14,2758
El-Magharibi Taste Oasis,27,46,3976
El-Magharibi Cuisine Haven,34,54,1678
El-Boustane Cuisine Haven,88,52,3304
El-Magharibi Grill House,99,26,1254
El-Boustane Flavors Shack,74,48,3798
El-Boustane Cuisine Haven,31,5,3751
El-baraka Taste Oasis,21,35,2740
El-Djenina Flavors Shack,56,16,275
El-baraka Taste Oasis,29,48,2499
El-Boustane Taste Oasis,85,27,5077
El-Rahma Flavors Shack,96,42,4414
El-Mesk Flavors Shack,58,33,5349
El-Mesk Cuisine Haven,26,54,2534
El-Magharibi Taste Oasis,31,45,727
El-Rahma Flavors Shack,67,20,699
El-Magharibi Grill House,29,45,4118
Lalla Taste Oasis,94,14,2587
El-Rahma Grill House,94,17,3364
El-Rahma Taste Oasis,23,27,3991
El-Djenina Taste Oasis,22,3,2166
El-Boustane Palace Kitchen,65,5,5173
El-Djenina Flavors Shack,22,53,1685
El-Mesk Taste Oasis,65,35,2937
El-Djenina Cuisine Haven,22,20,3567
El-Magharibi Cuisine Haven,40,54,4422
El-Rahma Grill House,61,23,3363
Lalla Taste Oasis,54,39,2900
El-Magharibi Grill House,95,25,3386
El-Boustane Cuisine Haven,72,12,465
El-Magharibi Palace Kitchen,43,18,784
El-Magharibi Taste Oasis,61,48,1419
El-Djenina Flavors Shack,73,53,2111
El-Magharibi Taste Oasis,99,55,2670
El-Rahma Palace Kitchen,48,15,91
El-Djenina Taste Oasis,62,24,4285
El-Boustane Flavors Shack,31,18,3175
El-Mesk Taste Oasis,43,23,4086
El-Magharibi Cuisine Haven,90,30,2938
El-Mesk Grill House,65,35,1290
Lalla Grill House,53,54,2610
El-Rahma Cuisine Haven,32,56,4141
El-Mesk Cuisine Haven,40,17,2961
El-Magharibi Cuisine Haven,86,50,2822
Lalla Cuisine Haven,91,32,3638
El-Rahma Cuisine Haven,80,41,5461
Lalla Grill House,41,29,1714
El-Magharibi Grill House,62,23,3062
El-Magharibi Flavors Shack,66,50,267
El-Mesk Cuisine Haven,47,41,4482
El-Djenina Grill House,44,2,360
El-Magharibi Cuisine Haven,61,26,5005
El-Magharibi Flavors Shack,63,53,1212
El-Rahma Taste Oasis,59,3,3926
El-Magharibi Taste Oasis,90,41,3716
El-Djenina Grill House,83,6,2132
Lalla Grill House,48,40,2084
Lalla Flavors Shack,76,58,879
El-Rahma Palace Kitchen,95,40,2374
El-Djenina Taste Oasis,42,29,5120
El-Rahma Taste Oasis,26,44,2172
El-Boustane Palace Kitchen,73,7,4474
El-Djenina Grill House,66,49,3380
El-Magharibi Taste Oasis,36,3,1930
El-Mesk Grill House,72,30,1179
Lalla Cuisine Haven,40,7,3970
El-Rahma Palace Kitchen,60,31,1151
Lalla Grill House,82,35,2428
El-Boustane Palace Kitchen,65,25,744
El-Boustane Grill House,61,40,5647
El-Boustane Taste Oasis,51,12,5371
El-Djenina Palace Kitchen,76,38,2928
El-Magharibi Cuisine Haven,45,25,5185
El-Magharibi Flavors Shack,52,17,2284
El-Mesk Cuisine Haven,31,46,2942
El-Djenina Palace Kitchen,59,41,1624
El-Djenina Flavors Shack,52,20,5385
El-Djenina Taste Oasis,30,38,3652
El-Mesk Grill House,80,46,2937
El-Djenina Cuisine Haven,88,38,1027
El-baraka Taste Oasis,51,25,3195
Lalla Flavors Shack,76,15,2698
El-Boustane Palace Kitchen,24,19,165
El-Djenina Grill House,93,40,3775
El-baraka Palace Kitchen,95,57,2139
El-Magharibi Flavors Shack,59,44,4557
El-Boustane Flavors Shack,53,44,2762
Lalla Cuisine Haven,20,13,125
El-Mesk Grill House,88,22,694
Lalla Cuisine Haven,39,55,669
El-Boustane Palace Kitchen,76,35,721
El-Rahma Cuisine Haven,49,26,3680
El-Boustane Grill House,22,49,2992
El-Djenina Flavors Shack,83,43,3090
El-Mesk Cuisine Haven,79,50,3923
El-Boustane Grill House,30,19,2585
El-Mesk Flavors Shack,96,11,438
El-Rahma Taste Oasis,52,19,2777
El-Djenina Flavors Shack,25,46,104
El-Magharibi Taste Oasis,84,2,2701
El-Boustane Grill House,74,45,2611
El-Rahma Grill House,96,17,4874
El-Mesk Grill House,44,9,2421
El-Boustane Grill House,61,1,3710
El-Boustane Grill House,41,9,582
El-Boustane Grill House,58,23,4966
El-Magharibi Palace Kitchen,33,54,1872
El-Mesk Cuisine Haven,93,52,5424
El-Magharibi Taste Oasis,70,17,637
El-baraka Taste Oasis,85,35,835
El-Djenina Cuisine Haven,69,41,4620
El-Magharibi Taste Oasis,67,10,5769
El-Boustane Flavors Shack,52,17,4123
El-Boustane Cuisine Haven,52,13,1245
El-Mesk Grill House,35,18,5178
El-baraka Flavors Shack,67,8,516
Lalla Palace Kitchen,39,4,3463
El-Magharibi Flavors Shack,38,24,1881
El-Mesk Cuisine Haven,67,29,5355
El-Magharibi Taste Oasis,53,53,2891
El-Boustane Flavors Shack,76,57,1520
El-Djenina Grill House,28,7,2151
Lalla Palace Kitchen,59,46,2320
El-Boustane Palace Kitchen,93,12,5745
El-Djenina Flavors Shack,76,24,475
El-Magharibi Palace Kitchen,92,54,1884
El-Djenina Taste Oasis,51,22,671
El-Rahma Flavors Shack,36,47,5687
El-Djenina Cuisine Haven,94,27,1477
Lalla Palace Kitchen,43,12,4805
El-Mesk Grill House,39,25,3169
El-Djenina Cuisine Haven,90,13,1305
El-Djenina Flavors Shack,22,10,1230
El-Boustane Flavors Shack,46,2,4814
El-Boustane Flavors Shack,87,15,4485
El-baraka Cuisine Haven,81,17,3052
El-Boustane Palace Kitchen,30,44,4534
Lalla Grill House,93,24,5678
El-Boustane Taste Oasis,92,12,4067
Lalla Cuisine Haven,25,2,2657
Lalla Cuisine Haven,88,29,3418
Lalla Flavors Shack,20,26,1830
El-Rahma Palace Kitchen,55,19,3058
El-baraka Taste Oasis,22,10,3312
Lalla Flavors Shack,76,33,4272
Lalla Palace Kitchen,47,31,1060
El-Djenina Grill House,34,47,1558
El-Boustane Grill House,88,49,1302
El-Djenina Flavors Shack,58,48,3059
El-Magharibi Grill House,68,23,4025
El-Magharibi Cuisine Haven,97,24,1138
Lalla Taste Oasis,22,29,1806
El-Rahma Flavors Shack,96,16,3541
El-Mesk Palace Kitchen,67,36,1352
El-Boustane Taste Oasis,77,31,2995
El-Rahma Palace Kitchen,83,16,2307
El-Mesk Cuisine Haven,66,54,1012
El-Djenina Cuisine Haven,30,38,1596
El-Magharibi Taste Oasis,77,32,2766
El-Mesk Grill House,78,3,606
El-Mesk Taste Oasis,93,1,2745
Lalla Taste Oasis,79,4,2881
El-Mesk Palace Kitchen,39,29,328
El-Boustane Cuisine Haven,100,31,1969
El-Mesk Palace Kitchen,70,9,5633
El-Magharibi Grill House,30,45,3864
El-Djenina Palace Kitchen,98,33,2483
El-baraka Palace Kitchen,29,32,3917
El-Rahma Cuisine Haven,22,10,4266
El-Magharibi Palace Kitchen,85,12,2242
El-baraka Flavors Shack,42,35,1856
El-Boustane Flavors Shack,25,35,1686
El-Djenina Grill House,37,49,82
El-Magharibi Flavors Shack,33,18,4223
El-Magharibi Grill House,60,45,3761
El-Boustane Grill House,57,33,1186
El-Mesk Taste Oasis,74,37,985
Lalla Cuisine Haven,48,50,4081
El-Mesk Grill House,53,4,4397
El-Magharibi Cuisine Haven,27,32,5109
Lalla Flavors Shack,75,45,1489
